Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,,,Term,Roomtype,Instructor,Capacity
Screen Printing,90871,ART,326,2,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 200,Tyler Hall ,200,Fall2017,Studio,Justin Anty  Mastrangelo,30
Ceramics II,90829,ART,330,3,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Hewitt Union 1B,Hewitt Union ,1B,Fall2017,Studio,Renqian   Yang,30
ST: Projects in Photography,93795,ART,333,4,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Tyler Hall 216,Tyler Hall ,216,Fall2017,Studio,Peter   Cardone,30
Intermediate Digital Photo,91260,ART,343,5,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 216,Tyler Hall ,216,Fall2017,Studio,Peter   Cardone,30
Sculpture,91767,ART,345,6,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Hewitt Union 7B,Hewitt Union ,7B,Fall2017,Studio,Benjamin R  Entner,30
20th Century Art,90831,ART,353,7,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Hewitt Union 212,Hewitt Union ,212,Fall2017,Lecture,Lisa A  Seppi,30
Chinese Art,92811,ART,368,1,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 107A,Lanigan Hall ,107A,Fall2017,Lecture,Lisa K  Langlois,30
Intro To Museum Studies,90279,ART,380,2,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Mahar Hall 214,Mahar Hall ,214,Fall2017,Lecture,Michael K.  Flanagan,30
STAH:American Art / Identity,92817,ART,391,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Hewitt Union 212,Hewitt Union ,212,Fall2017,Lecture,Lisa A  Seppi,30
Graphic Design Facility Manage,91215,ART,395,4,Undergraduate ,3,,2:00 pm - 5:00 pm,F,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Studio,Jenilee A.  Ward,30
"Two Dimensional,Experi.Studio",91216,ART,396,5,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Amy E.  Bartell,30
"Two Dimensional,Experi.Studio",91206,ART,396,6,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Peter   Cardone,30
"Two Dimensional,Experi.Studio",91387,ART,396,7,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Kelly L  Roe,30
"Two Dimensional,Experi.Studio",91223,ART,396,1,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Cynthia A  Clabough,30
"Two Dimensional,Experi.Studio",91649,ART,396,2,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Cynthia A  Clabough,30
"Two Dimensional,Experi.Studio",91395,ART,396,3,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Rebecca Wendy  Mushtare,30
"Two Dimensional,Experi.Studio",91398,ART,396,4,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Cara B  Thompson,30
"Two Dimensional,Experi.Studio",91650,ART,396,5,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Cynthia A  Clabough,30
"Two Dimensional,Experi.Studio",91592,ART,396,6,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Cara B  Thompson,30
"Two Dimensional,Experi.Studio",91208,ART,396,7,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Justin Anty  Mastrangelo,30
"Two Dimensional,Experi.Studio",91804,ART,396,1,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Mary D.  Pierce,30
"Two Dimensional,Experi.Studio",91035,ART,396,2,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Richard   Metzgar,30
"Two Dimensional,Experi.Studio",92819,ART,396,3,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Cara B  Thompson,30
"Two Dimensional,Experi.Studio",91201,ART,396,4,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Juan   Perdiguero,30
"Two Dimensional,Experi.Studio",91230,ART,396,5,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Studio,Christopher   McEvoy,30
"3 Dimensional,Experi. Studio",91202,ART,397,6,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2017,Studio,Benjamin R  Entner,30
"3 Dimensional,Experi. Studio",91228,ART,397,7,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2017,Studio,Richard   Metzgar,30
Figure Drawing II,91207,ART,400,1,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 201,Tyler Hall ,201,Fall2017,Studio,Juan   Perdiguero,30
Publication Design,91289,ART,408,2,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Studio,Keli   DiRisio,30
Multimedia II,91221,ART,409,3,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Studio,Cara B  Thompson,30
Multimedia II,93590,ART,409,4,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Studio,Cara B  Thompson,30
Drawing III,93586,ART,410,5,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 201,Tyler Hall ,201,Fall2017,Studio,Juan   Perdiguero,30
Drawing IV,93587,ART,411,6,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 201,Tyler Hall ,201,Fall2017,Studio,Juan   Perdiguero,30
Traditional Illustration II,93577,ART,412,7,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 217,Tyler Hall ,217,Fall2017,Studio,Cynthia A  Clabough,30
Digital Illustration II,90280,ART,413,1,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 217,Tyler Hall ,217,Fall2017,Studio,Cynthia A  Clabough,30
Graphic/InteractiveDesign Prac,91222,ART,414,2,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Practicum,Cara B  Thompson,30
Painting IV,93585,ART,415,3,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 205,Tyler Hall ,205,Fall2017,Studio,Christopher   McEvoy,30
Web Media II,91393,ART,417,4,Undergraduate ,3,,11:30 am - 1:35 pm,MWF,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Studio,Rebecca Wendy  Mushtare,30
Adv 3-D Modeling & Animation,91655,ART,418,5,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Studio,Lisa A.  DuBois,30
Studio Management,90882,ART,419,6,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2017,Activity,Christopher   McEvoy,30
Adv. Problems in Illustration,92816,ART,423,7,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 217,Tyler Hall ,217,Fall2017,Studio,Cynthia A  Clabough,30
Adv Problems in Printmaking,91652,ART,425,1,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 200,Tyler Hall ,200,Fall2017,Studio,Justin Anty  Mastrangelo,30
Ceramics III,90830,ART,430,2,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Hewitt Union 1B,Hewitt Union ,1B,Fall2017,Studio,Renqian   Yang,30
Ceramics IV,90946,ART,431,3,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Hewitt Union 1B,Hewitt Union ,1B,Fall2017,Studio,Renqian   Yang,30
Advanced Digital Photography,91229,ART,443,4,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Tyler Hall 216,Tyler Hall ,216,Fall2017,Studio,Peter   Cardone,30
ProjSt 3D/4D:Sculpture,91769,ART,445,5,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Hewitt Union 7B,Hewitt Union ,7B,Fall2017,Studio,Benjamin R  Entner,30
BFA Exhibition,91210,ART,492,6,Undergraduate ,3,,5:15 pm - 5:45 pm,MW,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Activity,Cara B  Thompson,30
GR Studio:3-D Model/Animation,91656,ART,500,7,Graduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Studio,Lisa A.  DuBois,30
Graduate Studio-Illustration,93805,ART,500,1,Graduate ,3,,6:00 pm - 9:00 pm,TR,Hewitt Union 1A,Hewitt Union ,1A,Fall2017,Lecture,Jason M  Cheney,30
Gr Graphic Design-Publication,91263,ART,508,2,Graduate ,3,,6:00 pm - 9:00 pm,TR,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Lecture,Keli   DiRisio,30
Gr Graphic Design-Type&Image,93189,ART,508,3,Graduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Studio,Keli   DiRisio,30
Graduate Multimedia,91269,ART,509,4,Graduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Lecture,Cara B  Thompson,30
Gr Multimedia,92815,ART,509,5,Graduate ,3,,2:20 pm - 5:15 pm,TR,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Lecture,Cara B  Thompson,30
Graduate Drawing:Advanced,91266,ART,510,6,Graduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 201,Tyler Hall ,201,Fall2017,Lecture,Juan   Perdiguero,30
Graduate Drawing: Figure,91397,ART,510,7,Graduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 201,Tyler Hall ,201,Fall2017,Lecture,Juan   Perdiguero,30
Graduate Digital Illustration,91262,ART,513,1,Graduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 217,Tyler Hall ,217,Fall2017,Lecture,Cynthia A  Clabough,30
Grad Prob in Graphic Design,90602,ART,514,2,Graduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Activity,Cara B  Thompson,30
Grad Prob in Graphic Design,92456,ART,514,3,Graduate ,3,,2:00 pm - 5:00 pm,F,Lanigan Hall 35,Lanigan Hall ,35,Fall2017,Activity,Cynthia A  Clabough,30
Graduate Painting,91637,ART,515,4,Graduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 205,Tyler Hall ,205,Fall2017,Studio,Christopher   McEvoy,30
Graduate Web Design,91394,ART,517,5,Graduate ,3,,11:30 am - 1:35 pm,MWF,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Lecture,Rebecca Wendy  Mushtare,30
Graduate Web Design-Beginning,91268,ART,517,6,Graduate ,3,,9:10 am - 11:15 am,MWF,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Lecture,Rebecca Wendy  Mushtare,30
Graduate Critique,MAT,92809,,7,Graduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Recitation or Discussion,Kelly L  Roe,30
Graduate Critique,MA,91261,,1,Graduate ,3,,2:00 pm - 5:00 pm,F,Lanigan Hall 35,Lanigan Hall ,35,Fall2017,Recitation or Discussion,Cynthia A  Clabough,30
Graduate Digital Media,91781,ART,523,2,Graduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 217,Tyler Hall ,217,Fall2017,Studio,Elizabeth Nichole  Hunt,30
Graduate Printmaking,91667,ART,525,3,Graduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 200,Tyler Hall ,200,Fall2017,Studio,Mary D.  Pierce,30
GR. Printmaking:Screenprinting,91653,ART,525,4,Graduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 200,Tyler Hall ,200,Fall2017,Studio,Justin Anty  Mastrangelo,30
Graduate Ceramics,91264,ART,530,5,Graduate ,3,,9:35 am - 12:30 pm,TR,Hewitt Union 1B,Hewitt Union ,1B,Fall2017,Lecture,Renqian   Yang,30
Graduate Photography,91302,ART,540,6,Graduate ,3,,9:10 am - 12:25 pm,MW,Tyler Hall 216,Tyler Hall ,216,Fall2017,Lecture,Peter   Cardone,30
GR Photography: Beginning,93579,ART,540,7,Graduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 216,Tyler Hall ,216,Fall2017,Lecture,Peter   Cardone,30
Graduate Sculpture,91450,ART,545,1,Graduate ,3,,2:20 pm - 5:15 pm,TR,Hewitt Union 7B,Hewitt Union ,7B,Fall2017,Studio,Benjamin R  Entner,30
20th Century Art,91795,ART,553,2,Graduate ,3,,12:40 pm - 1:35 pm,MWF,Hewitt Union 212,Hewitt Union ,212,Fall2017,Lecture,Lisa A  Seppi,30
Grad History Graphic Design,91805,ART,565,3,Graduate ,3,,12:45 pm - 2:05 pm,TR,Mahar Hall 201,Mahar Hall ,201,Fall2017,Lecture,Cynthia A  Clabough,30
RPAH:American Art / Identity,91663,ART,571,4,Graduate ,3,,9:10 am - 10:05 am,MWF,Hewitt Union 212,Hewitt Union ,212,Fall2017,Lecture,Lisa A  Seppi,30
RPAH: Chinese Art,91660,ART,571,5,Graduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 107A,Lanigan Hall ,107A,Fall2017,Lecture,Lisa K  Langlois,30
Graduate Art Theory & Practice,90628,ART,572,6,Graduate ,3,,2:00 pm - 5:00 pm,F,Lanigan Hall 35,Lanigan Hall ,35,Fall2017,Activity,Cynthia A  Clabough,30
American Sign Language I,90288,ASL,101,7,Undergraduate ,3,,5:00 pm - 6:20 pm,TR,Marano Campus Center 223,Marano Campus Center ,223,Fall2017,Lecture,Laura   Latray-Corey,30
Astronomy,90412,AST,100,1,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Marano Campus Center 211,Marano Campus Center ,211,Fall2017,Lecture,Scott   Roby,30
Astronomy,90413,AST,100,2,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 122,Shineman Center ,122,Fall2017,Lecture,Scott   Roby,30
Astronomy,90414,AST,100,3,Undergraduate ,3,,8:00 am - 9:20 am,TR,Shineman Center 178,Shineman Center ,178,Fall2017,Lecture,Kenneth Eric  Mauser,30
Astronomy,90415,AST,100,4,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 178,Shineman Center ,178,Fall2017,Lecture,Kenneth Eric  Mauser,30
Astronomy,92978,AST,100,5,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Shineman Center 172,Shineman Center ,172,Fall2017,Lecture,John   Zielinski,30
Astronomy,92979,AST,100,6,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Shineman Center 172,Shineman Center ,172,Fall2017,Lecture,John   Zielinski,30
Topics In Modern Astronomy,92102,AST,310,7,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Shineman Center 183,Shineman Center ,183,Fall2017,Lecture,Scott   Roby,30
Intro to Health Info Systems,93702,BHI,501,1,Graduate ,3,,6:00 pm - 9:00 pm,M,Sonata 303,Sonata ,303,Fall2017,Lecture,Isabelle   Bichindaritz,30
Intro to Health Info Systems,92175,BHI,501,2,Graduate ,3,,TBA,TBA,"100% web, no face to face ",,"100% web, no face to face ",Fall2017,Distance Learning,Isabelle   Bichindaritz,30
Health Informatics Methods,93704,BHI,502,3,Graduate ,3,,6:00 pm - 9:00 pm,W,Sonata 303,Sonata ,303,Fall2017,Lecture,Isabelle   Bichindaritz,30
Health Informatics Methods,92176,BHI,502,4,Graduate ,3,,TBA,TBA,"100% web, no face to face ",,"100% web, no face to face ",Fall2017,Distance Learning,Isabelle   Bichindaritz,30
eHealth Systems,93706,BHI,503,5,Graduate ,3,,6:00 pm - 9:00 pm,R,Sonata 303,Sonata ,303,Fall2017,Lecture,Muhammad Nafees   Qamar,30
eHealth Systems,92177,BHI,503,6,Graduate ,3,,TBA,TBA,"100% web, no face to face ",,"100% web, no face to face ",Fall2017,Distance Learning,Muhammad Nafees   Qamar,30
Digital Health,93707,BHI,505,7,Graduate ,3,,6:00 pm - 9:00 pm,T,Sonata 303,Sonata ,303,Fall2017,Lecture,Muhammad Nafees   Qamar,30
Database Applications,92181,BHI,508,1,Graduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 448,Shineman Center ,448,Fall2017,Lecture,Ioana   Coman,30
Database Applications,91914,BHI,508,2,Graduate ,3,,TBA,TBA,"100% web, no face to face ",,"100% web, no face to face ",Fall2017,Distance Learning,Ioana   Coman,30
Thesis in BHI,92883,BHI,700,3,Graduate ,3,,TBA,TBA,TBA,TBA,,Fall2017,Activity,Isabelle   Bichindaritz,30
General Biology,90366,BIO,101,4,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 178,Shineman Center ,178,Fall2017,Lecture,Michael J  McDonald,30
General Biology Lab,90963,BIO,101,5,Undergraduate ,3,,1:50 pm - 3:50 pm,F,Shineman Center 204,Shineman Center ,204,Fall2017,Laboratory,Michael J  McDonald,30
Biology Seminar,90880,BIO,110,6,Undergraduate ,3,,9:35 am - 10:55 am,R,Park Hall 212,Park Hall ,212,Fall2017,Seminar,James A  MacKenzie,30
Biology Seminar,90728,BIO,110,7,Undergraduate ,3,,11:30 am - 12:25 pm,F,Shineman Center 178,Shineman Center ,178,Fall2017,Seminar,Maria   Sagot,30
Biology Seminar,91717,BIO,110,1,Undergraduate ,3,,10:20 am - 11:15 am,W,Rich Hall 319,Rich Hall ,319,Fall2017,Seminar,Christopher H  Chandler,30
Biology Seminar,90729,BIO,110,2,Undergraduate ,3,,9:35 am - 10:30 am,T,Park Hall 212,Park Hall ,212,Fall2017,Seminar,Richard C  Back,30
Biology Seminar,92209,BIO,110,3,Undergraduate ,3,,3:55 pm - 4:50 pm,T,Shineman Center 176,Shineman Center ,176,Fall2017,Seminar,Karen R  Sime,30
Biology Seminar,93553,BIO,110,4,Undergraduate ,3,,9:10 am - 10:05 am,M,Mahar Hall 103,Mahar Hall ,103,Fall2017,Seminar,C. Eric  Hellquist,30
Biology Seminar,91177,BIO,110,5,Undergraduate ,3,,11:10 am - 12:30 pm,T,Park Hall 212,Park Hall ,212,Fall2017,Seminar,James A  MacKenzie,30
Biology Seminar,91175,BIO,110,6,Undergraduate ,3,,12:40 pm - 1:35 pm,M,Park Hall 313,Park Hall ,313,Fall2017,Seminar,Maria   Sagot,30
Biology Seminar,90758,BIO,110,7,Undergraduate ,3,,1:50 pm - 2:45 pm,W,Park Hall 313,Park Hall ,313,Fall2017,Seminar,Richard C  Back,30
Biology Seminar,91709,BIO,110,1,Undergraduate ,3,,12:40 pm - 1:35 pm,W,Park Hall 313,Park Hall ,313,Fall2017,Seminar,Richard C  Back,30
Biology Seminar,91708,BIO,110,2,Undergraduate ,3,,11:10 am - 12:30 pm,R,Park Hall 212,Park Hall ,212,Fall2017,Seminar,James A  MacKenzie,30
Molecular/Cellular Foundations,91136,BIO,120,3,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 175,Shineman Center ,175,Fall2017,Lecture,Yulia   Artemenko,30
Molecular/Cellular Found Lab,91173,BIO,120,4,Undergraduate ,3,,1:50 pm - 4:50 pm,M,Shineman Center 204,Shineman Center ,204,Fall2017,Laboratory,Yulia   Artemenko,30
Molecular/Cellular Found. Lab,91320,BIO,120,5,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 204,Shineman Center ,204,Fall2017,Laboratory,Yulia   Artemenko,30
Molecular/Cellular FoundaLAB,92763,BIO,120,6,Undergraduate ,3,,1:50 pm - 4:50 pm,W,Shineman Center 204,Shineman Center ,204,Fall2017,Laboratory,Yulia   Artemenko,30
Human Biology,90407,BIO,203,7,Undergraduate ,3,,7:00 pm - 8:25 pm,MW,Shineman Center 122,Shineman Center ,122,Fall2017,Lecture,Cleane L  Medeiros,30
Diversity of Life,92958,BIO,220,1,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Shineman Center 175,Shineman Center ,175,Fall2017,Lecture,Jennifer C  Olori,30
T: Captive Wildlife Management,93290,BIO,301,2,Undergraduate ,3,,8:00 am - 9:20 am,TR,Shineman Center 176,Shineman Center ,176,Fall2017,Lecture,Susan   Hammerly,30
Cellular Physiology,91296,BIO,309,3,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 176,Shineman Center ,176,Fall2017,Lecture,Yolanda   Brooks,30
Cellular Physiology,93289,BIO,309,4,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Park Hall 204,Park Hall ,204,Fall2017,Lecture,Anthony L  Contento,30
Microbiology,91557,BIO,310,5,Undergraduate ,3,,9:10 am - 10:05 am,MW,Shineman Center 172,Shineman Center ,172,Fall2017,Lecture,Peter   Newell,30
Microbiology Lab,91558,BIO,310,6,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 212,Shineman Center ,212,Fall2017,Laboratory,Peter   Newell,30
Microbiology Lab,91559,BIO,310,7,Undergraduate ,3,,8:00 am - 11:00 am,R,Shineman Center 212,Shineman Center ,212,Fall2017,Laboratory,Peter   Newell,30
Microbiology Lab,92766,BIO,310,1,Undergraduate ,3,,12:45 pm - 3:45 pm,R,Shineman Center 212,Shineman Center ,212,Fall2017,Laboratory,Yolanda   Brooks,30
Genetics,90408,BIO,315,2,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Park Hall 315,Park Hall ,315,Fall2017,Lecture,Peter A  Rosenbaum,30
Laboratory in Genetics,90723,BIO,316,3,Undergraduate ,3,,1:50 pm - 4:50 pm,M,Shineman Center 208,Shineman Center ,208,Fall2017,Laboratory,Susan   Hammerly,30
Laboratory in Genetics,90837,BIO,316,4,Undergraduate ,3,,5:20 pm - 8:20 pm,M,Shineman Center 208,Shineman Center ,208,Fall2017,Laboratory,Yolanda   Brooks,30
Laboratory in Genetics,90838,BIO,316,5,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 208,Shineman Center ,208,Fall2017,Laboratory,Poongodi   Geetha-Loganathan,30
Laboratory in Genetics,90839,BIO,316,6,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 208,Shineman Center ,208,Fall2017,Laboratory,Anthony L  Contento,30
Laboratory in Genetics,90840,BIO,316,7,Undergraduate ,3,,5:45 pm - 8:45 pm,T,Shineman Center 208,Shineman Center ,208,Fall2017,Laboratory,Anthony L  Contento,30
Laboratory in Genetics,91306,BIO,316,1,Undergraduate ,3,,1:50 pm - 4:50 pm,W,Shineman Center 208,Shineman Center ,208,Fall2017,Laboratory,Anthony L  Contento,30
Laboratory in Genetics,92770,BIO,316,2,Undergraduate ,3,,9:10 am - 12:10 pm,W,Shineman Center 208,Shineman Center ,208,Fall2017,Laboratory,Yolanda   Brooks,30
Introductory Ecology,91174,BIO,320,3,Undergraduate ,3,,9:10 am - 10:05 am,MW,Shineman Center 170,Shineman Center ,170,Fall2017,Lecture,Michael   Schummer,30
Introductory Ecology Lab,91313,BIO,320,4,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 301,Shineman Center ,301,Fall2017,Laboratory,Michael   Schummer,30
Introductory Ecology Lab,91715,BIO,320,5,Undergraduate ,3,,9:10 am - 12:10 pm,F,Shineman Center 301,Shineman Center ,301,Fall2017,Laboratory,Michael   Schummer,30
The Plant Kingdom,90908,BIO,340,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 172,Shineman Center ,172,Fall2017,Lecture,Jinyan   Guo,30
The Plant Kingdom Lab,92963,BIO,340,7,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 301,Shineman Center ,301,Fall2017,Laboratory,Jinyan   Guo,30
The Plant Kingdom Lab,93552,BIO,340,1,Undergraduate ,3,,6:00 pm - 9:00 pm,T,Shineman Center 301,Shineman Center ,301,Fall2017,Laboratory,Jinyan   Guo,30
The Animal Kingdom,91562,BIO,370,2,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 172,Shineman Center ,172,Fall2017,Lecture,Andrew   McElwain,30
The Animal Kingdom Lab,91563,BIO,370,3,Undergraduate ,3,,6:00 pm - 9:00 pm,T,Shineman Center 305,Shineman Center ,305,Fall2017,Laboratory,Michael J  McDonald,30
The Animal Kingdom Lab,93558,BIO,370,4,Undergraduate ,3,,6:00 pm - 9:00 pm,R,Shineman Center 305,Shineman Center ,305,Fall2017,Laboratory,Andrew   McElwain,30
Wetlands Ecology,93554,BIO,420,5,Undergraduate ,3,,12:40 pm - 1:35 pm,MW,Rice Creek 121,Rice Creek ,121,Fall2017,Lecture,C. Eric  Hellquist,30
Wetlands Ecology Lab,93555,BIO,420,6,Undergraduate ,3,,1:50 pm - 4:50 pm,W,Rice Creek 121,Rice Creek ,121,Fall2017,Laboratory,C. Eric  Hellquist,30
Evolution,91179,BIO,425,7,Undergraduate ,3,,5:30 pm - 6:50 pm,MW,Shineman Center 178,Shineman Center ,178,Fall2017,Lecture,Jinyan   Guo,30
Evolution,91181,BIO,425,1,Undergraduate ,3,,9:35 am - 10:55 am,TR,Park Hall 313,Park Hall ,313,Fall2017,Lecture,Michael J  McDonald,30
Evolution,91003,BIO,425,2,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Park Hall 304,Park Hall ,304,Fall2017,Lecture,Susan   Hammerly,30
Evolution,91842,BIO,425,3,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Shineman Center 196,Shineman Center ,196,Fall2017,Lecture,Peter A  Rosenbaum,30
Evolution,93877,BIO,425,4,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Park Hall 212,Park Hall ,212,Fall2017,Lecture,Susan   Hammerly,30
Conservation Biology,92023,BIO,460,5,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 183,Shineman Center ,183,Fall2017,Lecture,Michael   Schummer,30
Research: Entomology,91713,BIO,492,6,Undergraduate ,3,,10:20 am - 1:20 pm,F,Shineman Center 304,Shineman Center ,304,Fall2017,Lecture,Karen R  Sime,30
Research: Genomics,90410,BIO,492,7,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 348,Shineman Center ,348,Fall2017,Lecture,Christopher H  Chandler,30
Research: Plant Systematics,91004,BIO,492,1,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 304,Shineman Center ,304,Fall2017,Activity,Kamal I  Mohamed,30
Research:Field Ecology,93556,BIO,492,2,Undergraduate ,3,,1:50 pm - 4:50 pm,M,Rice Creek 121,Rice Creek ,121,Fall2017,Lecture,C. Eric  Hellquist,30
Evolution,91180,BIO,525,3,Graduate ,3,,5:30 pm - 6:50 pm,MW,Shineman Center 178,Shineman Center ,178,Fall2017,Seminar,Jinyan   Guo,30
Evolution,91009,BIO,525,4,Graduate ,3,,9:35 am - 10:55 am,TR,Park Hall 313,Park Hall ,313,Fall2017,Seminar,Michael J  McDonald,30
Evolution,91008,BIO,525,5,Graduate ,3,,11:10 am - 12:30 pm,TR,Park Hall 304,Park Hall ,304,Fall2017,Seminar,Susan   Hammerly,30
Evolution,92029,BIO,525,6,Graduate ,3,,2:20 pm - 3:40 pm,TR,Shineman Center 196,Shineman Center ,196,Fall2017,Seminar,Peter A  Rosenbaum,30
Research: Entomology,91714,BIO,592,7,Graduate ,3,,10:20 am - 1:20 pm,F,Shineman Center 304,Shineman Center ,304,Fall2017,Lecture,Karen R  Sime,30
Research: Genomics,90526,BIO,592,1,Graduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 348,Shineman Center ,348,Fall2017,Lecture,Christopher H  Chandler,30
Research: Plant Systematics,91010,BIO,592,2,Graduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 304,Shineman Center ,304,Fall2017,Activity,Kamal I  Mohamed,30
