Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,,,Term,Roomtype,Instructor,Capacity
Intermediate Accounting I,90042,ACC,301,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Rich Hall 323,Rich Hall ,323,Fall2016,Lecture,Andrea Maria Anastasia  Pagano,30
Intermediate Accounting I Lab,90962,ACC,301,4,Undergraduate ,3,,8:00 am - 8:55 am,W,Rich Hall 323,Rich Hall ,223,Fall2016,Laboratory,Derek Matthew  Holden,30
Intermediate Accounting I,91514,ACC,301,5,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Rich Hall 223,Rich Hall ,223,Fall2016,Lecture,Andrea Maria Anastasia  Pagano,30
Intermediate Accounting I Lab,91515,ACC,301,6,Undergraduate ,3,,12:40 pm - 1:35 pm,W,Rich Hall 223,Rich Hall ,323,Fall2016,Laboratory,Cuifen   Zhuang,30
Intermediate Accounting II,90043,ACC,302,7,Undergraduate ,3,,9:35 am - 10:55 am,TR,Rich Hall 323,Rich Hall ,223,Fall2016,Lecture,Laura Bea  Lamb,30
Accounting Information Systems,90553,ACC,305,1,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Rich Hall 223,Rich Hall ,223,Fall2016,Lecture,Thomas J  Tribunella,30
Accounting Information Systems,91192,ACC,305,2,Undergraduate ,3,,5:30 pm - 6:50 pm,TR,Rich Hall 223,Rich Hall ,322,Fall2016,Lecture,Thomas J  Tribunella,30
Cost Accounting,90050,ACC,310,3,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Rich Hall 322,Rich Hall ,221,Fall2016,Lecture,Dean   Crawford,30
Cost Accounting,91184,ACC,310,4,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Rich Hall 221,Rich Hall ,220,Fall2016,Lecture,Debra A.  Geroux,30
Managerial Accounting,91971,ACC,320,5,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Rich Hall 220,Rich Hall ,324,Fall2016,Lecture,Eric M  Ramon,30
Acct as Management Tool,93043,ACC,321,6,Undergraduate ,3,,4:40 pm - 6:05 pm,MW,Rich Hall 324,Rich Hall ,323,Fall2016,Lecture,Susan   Wright,30
Federal Tax Accounting I,90053,ACC,330,7,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Rich Hall 323,Rich Hall ,323,Fall2016,Lecture,Dean   Crawford,30
Federal Tax Accounting I,90055,ACC,330,1,Undergraduate ,3,,5:30 pm - 6:50 pm,TR,Rich Hall 323,Rich Hall ,323,Fall2016,Lecture,Dean   Crawford,30
Federal Tax Accounting I,90825,ACC,330,2,Undergraduate ,3,,7:05 pm - 8:25 pm,TR,Rich Hall 323,Rich Hall ,221,Fall2016,Lecture,Dean   Crawford,30
Auditing,90942,ACC,430,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Rich Hall 221,Hewitt Union ,228C,Fall2016,Lecture,Hema   Rao,30
Content Methods; English,90081,ADO,310,4,Undergraduate ,3,,4:30 pm - 8:30 pm,W,Hewitt Union 228C,TBA,,Fall2016,Recitation or Discussion,Sharon G  Kane,30
Field Placement III: English,90083,ADO,313,5,Undergraduate ,3,,TBA,TBA,TBA,Hewitt Union ,228B,Fall2016,Activity,Sharon G  Kane,30
Content Methds:2nd/ForeignLang,90084,ADO,320,6,Undergraduate ,3,,4:30 pm - 8:30 pm,M,Hewitt Union 228B,TBA,,Fall2016,Recitation or Discussion,Joanne E.  O'Toole,30
Field Exp III:2nd/Foreign Lang,90086,ADO,323,7,Undergraduate ,3,,TBA,TBA,TBA,Sheldon Hall ,328,Fall2016,Activity,Joanne E.  O'Toole,30
Content Methods: Mathematics,90088,ADO,330,1,Undergraduate ,3,,4:10 pm - 8:10 pm,W,Sheldon Hall 328,TBA,,Fall2016,Recitation or Discussion,Jean E  Hallagan,30
Field Placement III:Mathematic,90090,ADO,333,2,Undergraduate ,3,,TBA,TBA,TBA,Hewitt Union ,228C,Fall2016,Activity,Jean E  Hallagan,30
Content Methods: Science,90743,ADO,340,3,Undergraduate ,3,,4:30 pm - 8:30 pm,R,Hewitt Union 228C,TBA,,Fall2016,Recitation or Discussion,Eric   Olson,30
Field Placement III: Science,90093,ADO,343,4,Undergraduate ,3,,TBA,TBA,TBA,Hewitt Union ,228B,Fall2016,Activity,Eric   Olson,30
Content Methods:Social Studies,90095,ADO,350,5,Undergraduate ,3,,4:30 pm - 8:30 pm,W,Hewitt Union 228B,TBA,,Fall2016,Recitation or Discussion,Ritu   Radhakrishnan,30
Field PlacementIII:Social Stud,90098,ADO,353,6,Undergraduate ,3,,TBA,TBA,TBA,Hewitt Union ,228B,Fall2016,Activity,Ritu   Radhakrishnan,30
Interdisciplinary Methods,92091,ADO,394,7,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Hewitt Union 228B,Hewitt Union ,228C,Fall2016,Recitation or Discussion,David Paul  Parisian,30
Content Methods: English,90082,ADO,510,1,Graduate ,3,,4:30 pm - 8:30 pm,W,Hewitt Union 228C,Off Campus ,,Fall2016,Recitation or Discussion,Sharon G  Kane,30
Field Placement III: English,90101,ADO,513,2,Graduate ,3,,7:00 am - 11:30 am,MTWRF,Off Campus ,Hewitt Union ,228B,Fall2016,Activity,Sharon G  Kane,30
Content Methods:2ndForeignLang,90085,ADO,520,3,Graduate ,3,,4:30 pm - 8:30 pm,M,Hewitt Union 228B,Off Campus ,,Fall2016,Recitation or Discussion,Joanne E.  O'Toole,30
Field Exp III:2nd Foreign Lang,90087,ADO,523,4,Graduate ,3,,7:00 am - 11:30 am,MTWF,Off Campus ,Sheldon Hall ,328,Fall2016,Activity,Joanne E.  O'Toole,30
Content Methods: Mathematics,90089,ADO,530,5,Graduate ,3,,4:10 pm - 8:10 pm,W,Sheldon Hall 328,Off Campus ,,Fall2016,Recitation or Discussion,Jean E  Hallagan,30
Field Placement III: Math,90091,ADO,533,6,Graduate ,3,,7:00 am - 11:30 am,TR,Off Campus ,Hewitt Union ,228C,Fall2016,Activity,Jean E  Hallagan,30
Content Methods:Science,90092,ADO,540,7,Graduate ,3,,4:30 pm - 8:30 pm,R,Hewitt Union 228C,Off Campus ,,Fall2016,Recitation or Discussion,Eric   Olson,30
Field Placement III: Science,90094,ADO,543,1,Graduate ,3,,7:00 am - 11:30 am,TR,Off Campus ,Hewitt Union ,228B,Fall2016,Activity,Eric   Olson,30
Content Methods:Social Studies,90096,ADO,550,2,Graduate ,3,,4:30 pm - 8:30 pm,W,Hewitt Union 228B,Off Campus ,,Fall2016,Recitation or Discussion,Ritu   Radhakrishnan,30
Field Placement III:Soc Studie,90097,ADO,553,3,Graduate ,3,,7:00 am - 11:30 am,MTWRF,Off Campus ,Off Campus ,,Fall2016,Activity,Ritu   Radhakrishnan,30
Field Experience B:Plan/Teach,91470,ADO,593,4,Graduate ,3,,TBA,TBA,Off Campus ,Lanigan Hall ,102,Fall2016,Activity,Jean E  Hallagan,30
Archaeology & Human Evolution,90190,ANT,111,5,Undergraduate ,3,,9:35 am - 10:55 am,TR,Lanigan Hall 102,Mahar Hall ,309,Fall2016,Lecture,Alanna E  Ossa,30
Archaeology & Human Evolution,91104,ANT,111,6,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Mahar Hall 309,Mahar Hall ,309,Fall2016,Lecture,Douglas   Pippin,30
Archaeology & Human Evolution,92378,ANT,111,7,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Mahar Hall 309,Lanigan Hall ,105,Fall2016,Lecture,Kathleen A  Blake,30
Cultural Anthropology,90192,ANT,112,1,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Lanigan Hall 105,Mahar Hall ,309,Fall2016,Lecture,Jing   Lei,30
History of Ethnological Theory,91026,ANT,210,2,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Mahar Hall 309,Mahar Hall ,309,Fall2016,Lecture,Jing   Lei,30
Introductory Archaeology,91374,ANT,230,3,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Mahar Hall 309,Mahar Hall ,307,Fall2016,Lecture,Alanna E  Ossa,30
Biological Anthropology,90988,ANT,280,4,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Mahar Hall 307,TBA,,Fall2016,Lecture,Kathleen A  Blake,30
Teaching Anthropology,90193,ANT,302,5,Undergraduate ,3,,TBA,TBA,TBA,Mahar Hall ,309,Fall2016,Lecture,Kathleen A  Blake,30
Research Methods,90194,ANT,310,6,Undergraduate ,3,,3:00 pm - 5:45 pm,M,Mahar Hall 309,Mahar Hall ,309,Fall2016,Lecture,Douglas   Pippin,30
Digging Up the Past,92613,ANT,331,7,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Mahar Hall 309,Mahar Hall ,309,Fall2016,Lecture,Douglas   Pippin,30
"Archaeology,Hist Pres & CRM",93045,ANT,337,1,Undergraduate ,3,,3:00 pm - 5:40 pm,W,Mahar Hall 309,Mahar Hall ,307,Fall2016,Lecture,Alanna E  Ossa,30
Forensic Anthropology,91105,ANT,354,2,Undergraduate ,3,,3:00 pm - 4:25 pm,MW,Mahar Hall 307,,"100% web, no face to face ",Fall2016,Lecture,Kathleen A  Blake,30
Peoples&Cultr of China,91956,ANT,372,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Lanigan Hall ,107,Fall2016,Distance Learning,Jing   Lei,30
Intro to the Visual Arts,91651,ART,100,4,Undergraduate ,3,,5:00 pm - 6:25 pm,MW,Lanigan Hall 107,Lanigan Hall ,104,Fall2016,Lecture,Walter R  Langlois,30
Intro to the Visual Arts,93297,ART,100,5,Undergraduate ,3,,9:35 am - 10:55 am,TR,Lanigan Hall 104,,"100% web, no face to face ",Fall2016,Lecture,Russell   Prigodich,30
Intro to the Visual Arts,91933,ART,100,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Tyler Hall ,102,Fall2016,Distance Learning,Alesha Marie  Hall,30
TTMM Studio Art Non-Majors,91646,ART,102,7,Undergraduate ,3,,5:30 pm - 7:30 pm,MW,Tyler Hall 102,,"100% web, no face to face ",Fall2016,Studio,William   DeMott,30
TEMM:Intro to Digital Media,91934,ART,103,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Tyler Hall ,102,Fall2016,Distance Learning,Alesha Marie  Hall,30
Design Concepts I-2D,90268,ART,105,2,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 102,Tyler Hall ,102,Fall2016,Activity,William   DeMott,30
Design Concepts I-2D,91224,ART,105,3,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 102,Tyler Hall ,102,Fall2016,Studio,Melissa   Cardone,30
Design Concepts I-2D,90267,ART,105,4,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 102,Tyler Hall ,102,Fall2016,Studio,Mary D.  Pierce,30
Design Concepts I-2D,91212,ART,105,5,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Tyler Hall 102,Hewitt Union ,7A,Fall2016,Studio,Mary D.  Pierce,30
Design Concepts II-3D,90269,ART,106,6,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Hewitt Union 7A,Hewitt Union ,7A,Fall2016,Studio,Russell   Prigodich,30
Design Concepts II-3D,91204,ART,106,7,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Hewitt Union 7A,Hewitt Union ,7A,Fall2016,Studio,Sara   Prigodich,30
Design Concepts II-3D,91657,ART,106,1,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Hewitt Union 7A,Lanigan Hall ,107,Fall2016,Studio,Benjamin R  Entner,30
Gender&Contemp Visual Culture,91936,ART,110,2,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 107,Tyler Hall ,217,Fall2016,Lecture,Lisa K  Langlois,30
Digital Media,91200,ART,207,3,Undergraduate ,3,,9:10 am - 11:15 am,MWF,Tyler Hall 217,Tyler Hall ,217,Fall2016,Studio,Elizabeth Nichole  Hunt,30
Digital Media,91935,ART,207,4,Undergraduate ,3,,11:35 am - 1:35 pm,MWF,Tyler Hall 217,Tyler Hall ,217,Fall2016,Studio,Elizabeth Nichole  Hunt,30
Typography,91225,ART,209,5,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 217,Tyler Hall ,217,Fall2016,Studio,Justin Anty  Mastrangelo,30
Typography,91782,ART,209,6,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 217,Tyler Hall ,206,Fall2016,Studio,Justin Anty  Mastrangelo,30
Drawing I,90270,ART,210,7,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 206,Tyler Hall ,206,Fall2016,Activity,Joseph Mario  Romano,30
Drawing I,91290,ART,210,1,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 206,Tyler Hall ,206,Fall2016,Studio,Jason M  Cheney,30
Drawing I,91287,ART,210,2,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 206,Tyler Hall ,205,Fall2016,Studio,Jason M  Cheney,30
Painting I,92787,ART,215,3,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 205,Tyler Hall ,209,Fall2016,Studio,Joseph Mario  Romano,30
Watercolor Painting I,91636,ART,220,4,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 209,Hewitt Union ,1A,Fall2016,Studio,Marissa L.  Hill,30
Intro to Printmaking,90271,ART,225,5,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1A,Hewitt Union ,1B,Fall2016,Studio,Mary D.  Pierce,30
Ceramics I,90272,ART,230,6,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Hewitt Union 1B,Tyler Hall ,216,Fall2016,Studio,Sara   Prigodich,30
Intro to Digital Photography,90273,ART,243,7,Undergraduate ,3,,9:10 am - 11:15 am,MWF,Tyler Hall 216,Tyler Hall ,216,Fall2016,Studio,Peter   Cardone,30
